pdr,tx,rx,delay_ms,ctrl_tx,ctrl_rx,ctrl_dropped,scenario,attack_pps
0.992746,3584,3558,11.7978,19000,5970,0,InsecRPL,200
0.995257,3584,3567,5.48672,272,220,51,SecRPL,200
0.993862,3584,3562,13.059899999999999,38000,5945,0,InsecRPL,400
0.994978,3584,3566,5.984859999999999,517,391,126,SecRPL,400
0.993583,3584,3561,13.0279,57000,5899,0,InsecRPL,600
0.994699,3584,3565,5.7424599999999995,767,552,212,SecRPL,600
0.991908,3584,3555,13.8703,76000,5899,0,InsecRPL,800
0.994699,3584,3565,6.23975,1030,726,302,SecRPL,800
0.991071,3584,3552,14.2905,95000,5893,0,InsecRPL,1000
0.99442,3584,3564,6.18143,1275,881,378,SecRPL,1000
0.995257,3584,3567,5.31939,0,0,0,RPL,200
0.995257,3584,3567,5.31939,0,0,0,RPL,400
0.995257,3584,3567,5.31939,0,0,0,RPL,600
0.995257,3584,3567,5.31939,0,0,0,RPL,800
0.995257,3584,3567,5.31939,0,0,0,RPL,1000
